transaction_id	donor_id	date	amount	campaign
1	950	2006-07-10	72	campaign 10
2	420	2006-04-07	64	campaign 2
3	1673	2006-02-20	46	campaign 5
4	1649	2008-04-10	24	campaign 3
5	77	2008-04-04	90	campaign 1
6	880	2006-01-17	114	campaign 2
7	1437	2005-09-12	40	campaign 6
8	1814	2007-01-30	103	campaign 8
9	174	2007-10-29	93	campaign 2
10	1240	2008-08-25	63	campaign 7
11	66	2006-10-02	112	campaign 8
12	36	2008-03-08	91	campaign 7
13	1141	2008-03-23	83	campaign 2
14	442	2008-10-04	50	campaign 3
15	495	2007-05-18	88	campaign 1
16	1483	2006-04-12	34	campaign 12
17	1247	2008-08-20	37	campaign 3
18	1617	2006-02-19	89	campaign 6
19	465	2006-12-23	99	campaign 6
20	482	2005-09-07	120	campaign 11
21	1359	2005-10-09	109	campaign 7
22	1544	2005-04-26	33	campaign 5
23	1765	2005-03-20	105	campaign 9
24	338	2008-06-02	61	campaign 6
25	1136	2007-11-20	48	campaign 9
26	1786	2005-10-18	67	campaign 3
27	491	2006-07-30	69	campaign 2
28	1634	2006-07-07	55	campaign 8
29	1079	2005-11-30	84	campaign 3
30	1479	2008-10-31	59	campaign 3
31	56	2006-10-26	92	campaign 3
32	1353	2007-02-03	37	campaign 7
33	1003	2007-12-19	24	campaign 7
34	1221	2008-07-18	48	campaign 2
35	1358	2006-09-02	38	campaign 4
36	293	2007-07-18	67	campaign 3
37	149	2006-09-04	70	campaign 7
38	1872	2007-10-16	35	campaign 7
39	1670	2006-07-03	61	campaign 5
40	861	2005-04-20	90	campaign 6
41	701	2007-04-09	116	campaign 9
42	1415	2007-06-02	65	campaign 7
43	1498	2007-07-30	111	campaign 11
44	119	2005-03-02	82	campaign 11
45	1932	2007-01-18	60	campaign 1
46	317	2008-05-20	34	campaign 11
47	1336	2005-01-16	37	campaign 5
48	1646	2006-12-20	69	campaign 9
49	721	2008-05-31	75	campaign 8
50	603	2007-03-23	103	campaign 10
51	1702	2007-07-26	36	campaign 10
52	718	2008-05-16	60	campaign 5
53	159	2005-03-02	106	campaign 8
54	676	2005-05-03	23	campaign 9
55	240	2007-07-08	31	campaign 9
56	88	2006-01-13	105	campaign 2
57	1029	2007-01-27	52	campaign 2
58	1294	2007-01-28	120	campaign 6
59	364	2006-02-04	84	campaign 10
60	1454	2007-12-28	21	campaign 11
61	1316	2006-09-09	99	campaign 12
62	527	2006-12-08	36	campaign 4
63	1303	2006-09-11	45	campaign 1
64	71	2008-06-07	47	campaign 11
65	402	2005-01-20	62	campaign 3
66	178	2005-11-09	23	campaign 7
67	1781	2005-10-22	117	campaign 3
68	1168	2006-10-12	64	campaign 11
69	702	2007-11-13	104	campaign 12
70	287	2008-06-06	94	campaign 8
71	114	2006-06-20	116	campaign 4
72	702	2008-06-26	20	campaign 2
73	1361	2005-05-14	101	campaign 10
74	1199	2005-07-05	84	campaign 8
75	1221	2006-09-12	80	campaign 8
76	423	2006-07-11	85	campaign 2
77	1920	2006-12-12	67	campaign 10
78	188	2005-07-05	27	campaign 1
79	898	2007-05-26	60	campaign 8
80	629	2006-03-01	112	campaign 1
81	1210	2007-07-19	48	campaign 2
82	254	2008-03-19	81	campaign 6
83	1288	2005-08-06	27	campaign 9
84	1572	2005-01-09	97	campaign 8
85	444	2007-05-03	58	campaign 7
86	40	2008-03-03	21	campaign 12
87	1349	2007-03-24	111	campaign 1
88	83	2005-03-25	47	campaign 6
89	688	2007-10-31	107	campaign 2
90	1268	2008-10-20	73	campaign 2
91	1054	2006-07-17	58	campaign 7
92	1631	2008-02-04	107	campaign 9
93	1645	2008-08-15	38	campaign 10
94	1355	2008-01-24	29	campaign 8
95	1903	2008-06-30	56	campaign 6
96	1600	2007-10-21	115	campaign 9
97	1774	2008-02-20	88	campaign 8
98	1223	2005-07-28	81	campaign 6
99	1096	2005-02-20	114	campaign 7
100	604	2006-12-14	81	campaign 1
101	1839	2005-07-13	80	campaign 5
102	198	2005-07-08	28	campaign 8
103	1431	2006-02-18	60	campaign 12
104	486	2007-08-11	55	campaign 11
105	803	2007-02-08	108	campaign 9
106	1105	2005-05-26	107	campaign 10
107	12	2006-11-27	23	campaign 2
108	1130	2006-03-10	107	campaign 8
